contradiction,type,t,h
YES,negation,Tariq Aziz was not considered a member of Saddam's innermost circle.,Tariq Aziz was in Saddam's inner circle.
YES,lexical,Tariq Aziz kept outside the closed circle of Saddam's Sunni Moslem cronies.,Tariq Aziz was in Saddam's inner circle.
YES,negation,Tariq Aziz was not one of the most powerful figures in Saddam's regime.,Tariq Aziz was prominent in the regime.
YES,lexical,Tariq Aziz retained influence.,Aziz had virtually no power.
YES,numeric,Alexandros Yiotopoulos is 58.,Alexandros Yiotopoulos is 59 years old.
YES,numeric,213 people were killed.,219 people were killed.
YES,WK,Al-zarqawi was Palestinian.,Al-zarqawi was Jordanian.
YES,antonym,Al-zarqawi was right-handed.,Al-zarqawi was left-handed.
YES,negation,"No one has been arrested in the case.""",Collin Finnerty was arrested on charges of sexual offense.
YES,negation,No one has been arrested in the case.,Two sophomore Duke lacrosse players were arrested.
YES,antonym,Zarqawi did in fact survive the airstrike.,Abu Musab al-Zarqawi was killed in an airstrike.
YES,lexical,Zarqawi did in fact survive the airstrike.,An airstrike ended al-Zarqawi's life.
YES,WK,"Abu Musab al-Zarqawi, was a Jordanian terrorist leader.",al-Zarqawi was Palestinian.
YES,antonym,Abu Musab Al-Zarqawi was killed in a U.S. air strike.,Zarqawi did in fact survive the airstrike.
YES,negation,"The African Union's mandate in Darfur is to monitor the cease-fire, not enforce it.",The African Union will have to enforce the peace agreement.
YES,WK,The National Security Agency carries out electronic surveillance of American citizens.,The eavesdropping network of the agency [NSA] was directed at foreigners.
YES,negation,The National Security Agency carries out electronic surveillance of American citizens.,The eavesdropping network of the agency [NSA] was not directed at U.S. citizens.
YES,numeric,Buffett is giving the Gates foundation about 85 percent of his fortune.,The Gates foundation will be responsible for distributing about $31 billion of Buffett's estimated $44 billion estate.
YES,negation,Sudan will grant permission for United Nations peacekeeping forces to take up station in Darfur.,Sudan is as adamant as ever that it will never accept U.N. peacekeepers.
YES,factive,Sudan refused to allow U.N. troops in Darfur.,Sudan will grant permission for United Nations peacekeeping forces to take up station in Darfur.
YES,lexical,Sudan refused to allow U.N. troops in Darfur.,The matter [allowing U.N. troops in Darfur] was open for discussion.
YES,antonym,Sudan refused to allow U.N. troops in Darfur.,"The Sudanese government supports a U.N. peacekeeping force to replace the overwhelmed African Union force of 7,000."
YES,factive,Sudan refused to allow U.N. troops in Darfur.,Sudan was ready to accept U.N. troops.
YES,factive,Sudan refused to allow U.N. troops in Darfur.,It [Sudanese government] will accept it [U.N. forces].
YES,factive,The Sudanese government has refused to allow U.N. peacekeepers to replace the overmatched African Union force now in place.,"The Sudanese government supports a U.N. peacekeeping force to replace the overwhelmed African Union force of 7,000."
YES,negation,Sudan is as adamant as ever that it will never accept U.N. peacekeepers .,"It [Sudanese government] supports a U.N. peacekeeping force to replace the overwhelmed African Union force of 7,000."
YES,negation,Sudan is as adamant as ever that it will never accept U.N. peacekeepers.,It [Sudanese government] will accept it [U.N. forces].
YES,negation,Sudan was ready to accept U.N. troops.,Sudan is as adamant as ever that it will never accept U.N. peacekeepers.
YES,negation,Sudan was ready to accept U.N. troops.,The Khartoum government had not yet granted that [U.N. assessment team into Darfur] permission.
YES,negation,No direct link has been established between the two kidnappings [by Hezbollah and Hamas of Israeli soldiers],Some form of coordination [between the two kidnappings by Hezbollah and Hamas of Israeli soldiers] can't be ruled out.
YES,WK,Evo Morales is the top presidential candidate in Bolivia.,Evo Morales is Bolivian President.
YES,lexical,Evo Morales is a former congressman.,Evo Morales is a congressman.
YES,WK,Evo Morales is the new Bolivian President.,Evo Morales is a congressman.
YES,numeric,Prime Minister Ariel Sharon underwent five hours of surgery.,Sharon underwent nine hours of surgery.
YES,numeric,Sharon underwent nine hours of surgery.,Israeli Prime Minister Ariel Sharon underwent seven hours of emergency surgery.
YES,numeric,FEMA would cut off financing for most rooms by Dec. 1.,FEMA set the Dec. 15 and Jan. 7 deadlines for cutting off financing for most rooms.
YES,lexical,Hezbollah fired a rocket that killed eight workers.,Hezbollah killed eight Israeli soldiers.
YES,factive,TamilNet reported that a second navy vessel had been sunk.,The Sri Lankan military denies that a second navy vessel had been sunk.
YES,numeric,Eighth were detonated.,The first of the seven blasts struck.
YES,numeric,Eighth were detonated.,The seven train bombs detonated.
YES,numeric,The train bombings killed more than 180 people.,The bombings killed 63 people.
YES,numeric,The death toll stood at 48.,The death toll was at least 55.
YES,numeric,Seven carefully coordinated blasts ripped through suburban trains.,Eighth were detonated.
YES,antonym,"A report by Mohammed ElBaradei said that the destruction of the site [Lavisan] raised ""the possibility of a concealment effort"" by Iran to hide uranium enrichment activities.","In his report Mohamed ElBaradei director general of the International Atomic Energy Agency, praised Iran's ""transparency and indispensable"" cooperation."
YES,lexical,"It causes concern that Iran is opting out of its moratorium in the absence of answers to questions, serious questions, from the IAEA [International Atomic Energy Agency].","In his report Mohamed ElBaradei director general of the International Atomic Energy Agency, praised Iran's ""transparency and indispensable"" cooperation."
YES,lexical,"It causes concern that Iran is opting out of its moratorium in the absence of answers to questions, serious questions, from the IAEA [International Atomic Energy Agency].","""We're pleased, we [International Atomic Energy Agency] got access, it was not restricted. We were allowed to see all the buildings and to take environmental samples."""
YES,antonym,Reade Seligmann was arrested.,Seligmann was released.
YES,structure,The charge of breach of trust reflected what they said were efforts by Chung Mong-koo tried to enrich himself.,The charge of breach of trust reflected what they said were efforts by Chung to enrich his son.
YES,negation,No one has been arrested in the case.,Collin Finnerty was arrested on charges of kidnapping.
YES,negation,No one has been arrested in the case.,Collin Finnerty was arrested on charges of rape.
YES,negation,No one has been arrested in the case.,"Reade Seligmann, 20 was also arrested."
YES,negation,The Ministers have to be members of Parliament.,The Prime Minister is no longer required to be a member of the parliament.
YES,lexical,"Karnak is the brother of Triton, who endured Terrigenesis before he did.",Karnak is usually attended by his cousins Gorgon and Triton.
