contradiction,t,h
NO,"Meanwhile, in an exclusive interview with a TIME journalist, the first one-on-one session given to a Western print publication since his election as president of Iran earlier this year, Ahmadinejad attacked the ""threat"" to bring the issue of Iran's nuclear activity to the UN Security Council by the US, France, Britain and Germany.","Ahmedinejad was never attacked by the US, France, Britain and Germany."
YES,"Mexico City (Mexico), 12 Jan 90 (DPA) - Salvadoran Social Democratic politician Hector Oqueli Colindres was kidnapped today, in Guatemala city, along with Guatemalan Social Democratic leader Gilda Flores, his party, in Mexico City, reported.",Hector Oqueli Colindres does not come from El Salvador.
NO,"From Joss Stone to Keith Richards to Sting, the artists joining Les on the rock-charged album share one clear common bond: Les Paul is one of their most respected and beloved mentors.",Eric Clapton is not in business with Les Paul.
YES,"Although Schneider's father, Marvin, died of complications from diabetes only two weeks after ""Deuce Bigalow"" was released, his Filipino mother Pilar continues to live in Pacifica.",Pilar is not the mother of Schneider.
NO,Hinostroza's children told police that four hooded individuals broke into the house and shot their mother after having insulted her.,Hinostroza's children never attaked their mother with a gun.
YES,"A Russian Soyuz spacecraft docked with the International Space Station, after a two-day flight from the Baikonur Cosmodrome in Kazakhstan.",Soyuz spacecraft were never built by Russia.
YES,"But according to Dr. Williams, other members of the panel have championed other ideas, for example, that planets should be larger than 2,000 kilometers (or about 1,250 miles) in diameter (Pluto is about 1,500 miles).","The diameter of Pluto does not measure 1,500 miles."
YES,"As a result, peptic ulcer disease has been transformed from a chronic, frequently disabling condition to one that can be cured by a short regimen of antibiotics and other medicines.",Antibiotics are not used against peptic ulcer.
NO,"Alan Mulally, Boeing's head of the unit, said at the start of the strike that it may cause delivery delays that would give Airbus SAS an advantage in what is the strongest commercial aircraft market in five years.",Boeing will never be a subsidiary of Airbus SAS.
YES,"Two persons were injured in dynamite attacks perpetrated this evening against two bank branches in this northwestern, Colombian city.",No two bank branches were attacked with dynamite.
YES,"Speaking of Jean Charles de Menezes, who was chased by armed officers into the station and shot five times at close range, his cousin, Alex Pereira, hinted today that his family would sue Scotland Yard over the killing.",Jean Charles de Menezes is not related to Alex Pereira.
NO,"Thanks to the recent acquisition of J.D. Edwards, Oracle will soon be able to run JDE apps on its Fusion Middleware platform, too.",J.D.E. will never be the owner of Oracle.
YES,"Helena Brighton, an attorney for Eliza May who served as executive director of the Texas Funeral Services Commission -the state agency that regulates the funeral business- claimed that she was fired from her state job because she raised questions about SCI.",Eliza May never hired Helena Brighton.
YES,"The evidence for the continuing accretion of gas by the Milky Way involves high-velocity clouds, or HVCs--mysterious clumps of hydrogen, moving rapidly through the outer regions of the galaxy.",High-velocity clouds are not made up of hydrogen.
NO,"Earlier this year, Kai-Uwe Ricke, chief executive of Deutsche Telekom, floated the possibility that T-Mobile USA might be sold.",Deutsche Telekom will never sell T-Mobile USA.
YES,"Martin was given water to drink, then taken to New Orleans Ochsner Foundation Hospital, where nurse Jinny Resor said he was treated for dehydration.",Ochsner Foundation Hospital is not located in New Orleans.
NO,"Nelson Beavers is a co-owner of the current company, Carolina Analytical Laboratories LLC. and has ownership/employment history with Woodson-Tenent and Eurofin.",Nelson Beaver has never been staff at Carolina Analytical Laboratories.
YES,He also developed a breath test that could detect sulfur compounds emitted from the H. pylori.,The H. pylori does not produce sulphur compounds.
NO,"Craig Conway, fired as PeopleSoft's chief executive officer before the company was bought by Oracle, was in England last week.",Craig Conway will never work for Oracle.
YES,"The biopic of wannabe actor, Johnny Stompanato, may be directed by Adrian Lyne of ""Fatal Attraction"" and ""Indecent Proposal"" fame.","Adrian Lyne is not the director of ""Indecent Proposal""."
YES,"Nicholas Cage's wife, Alice Kim Cage, gave birth Monday, to a boy, Kal-el Coppola Cage, in New York City, said Cage's Los Angeles-based publicist, Annett Wolf. No other details were available.",Nicholas Cage is not married to Alice Kim Cage.
NO,"Vinicio Cerezo tacitly blamed president Alfredo Cristiani's administration for the crisis which prevails in the country as a result of the Farabundo Marti National Liberation Front's (FMLN) offensive. Meanwhile, Morales Ehrlich blamed the extreme- right, death-squads of El Salvador for the assassination of six Jesuit priests at the Central American University.",Farabundo Marti National Liberation Front has never been suspected of the assassination of six Jesuit priests.
YES,"The solar system is much more complicated now, astronomers say, than in 1930 when Clyde Tombaugh added Pluto to the inventory of wandering lights circling the Sun.",Pluto was not discovered by Clyde Tombaugh.
YES,The Southeast Asian ministers gather in Laos for their regional meeting.,Southeast Asian ministers' meeting is not held in Laos.
NO,"Sir Ian Blair, the Metropolitan Police Commissioner, said, last night, that his officers were ""playing out of their socks"", but admitted that they were ""racing against time"" to track down the bombers.",No officers belong to Sir Ian Blair's family.
YES,"Self-sufficiency has been turned into a formal public awareness campaign in San Francisco, by Mayor Gavin Newsom.",Gavin Newsom is not a politician of San Francisco.
NO,"Ordonez Reyes accused Jose Jesus Pena, alleged chief of security for the Nicaraguan embassy in Tegucigalpa, of masterminding the January 7th assassination of contra-commander Manuel Antonio Rugama.",Manuel Antonio Rugama was not killed by Jose Jesus Pena.
YES,"Lima, Jan. 10, '90 - The national police reported that over 15,000 people have been arrested in Lima in a dragnet aimed at uncovering the assassins of former Defense Minister Enrique Lopez Albujar Trint, who was murdered in a terrorist attack, yesterday.",Enrique Lopez Albujar Trint was not killed on Jan. 9 '90.
