pair_id,doc_id,base_doc_id,contra_type,premise,hypothesis,label,kind,premise_idx,hypothesis_idx
0,3488771844_6,3488771844,Content,"Shortly after his vision of the ""arena,"" he is attacked by humanoid pig-like creatures that he names ""the swine-things"", which appear to come from the depths of a great chasm under the house.",A rock slide dams the water in the pit.,0,in_doc_negative,8,12
1,3488771844_6,3488771844,Content,"Except for an enigmatic fragment, the book becomes unreadable between the passage describing ""the Sea of Sleep"" and a later entry titled ""The noise in the night"".","On the third day of their stay, they stumble upon the ruins of a strangely shaped house on a large lake.",0,in_doc_negative,16,1
2,3488771844_6,3488771844,Content,"Once the world ends, the man floats through space, seeing angelic, human, and demonic forms passing before his eyes.","The man is trapped, but Pepper rescues him.",0,in_doc_negative,20,13
3,3488771844_6,3488771844,Content,"The novel ends with a five-verse poem titled ""Grief"", found behind the fly-leaf of the diary.","Except for an enigmatic fragment, the book becomes unreadable between the passage describing ""the Sea of Sleep"" and a later entry titled ""The noise in the night"".",0,in_doc_negative,32,16
4,3488771845_4,3488771845,Content,"He meets Co-Tan, a member of the highest human race of mainland Caspak, the Galu, fully human and of a neolithic cultural level.They enter the chamber of the Wieroo king, a huge member of the race, and Bradley spares the creature's life instead of using its own sword against it.Co-Tan and Bradley escape the city of the Wieroo and live for several months on the forested coast of Oo-oh.","Finally, though, they are discovered by Wieroo.",1,gold,14,15
5,3488771845_4,3488771845,Content,"The book begins with Bradley, who had left Fort Dinosaur on an expedition in the first novel and never returned.","It connects the previous two installments, bringing in characters introduced in each.",0,in_doc_negative,4,1
6,3488771845_4,3488771845,Content,"It attempts to keep Bradley in a prison, but he escapes through a secret passage.",Some of the members of the party consider it to be a ghost or banshee.,0,in_doc_negative,13,7
7,3488771845_4,3488771845,Content,"It attempts to keep Bradley in a prison, but he escapes through a secret passage.","Bradley disappears during the night, and the remaining members of the party make it safely to Fort Dinosaur.",0,in_doc_negative,13,10
8,3488771845_4,3488771845,Content,Bradley and his party are attempting to return to Fort Dinosaur.,Some of the members of the party consider it to be a ghost or banshee.,0,in_doc_negative,5,7
9,3488771868_7,3488771868,Emotion/Mood/Feeling,"Various ominous happenings begin to take place at Bartram-Haugh; it becomes increasingly difficult for Maud and Millicent to find any route out of the estate; meanwhile, Dudley's courtship culminates in a marriage proposition to Maud; when she confronts Silas about it, he attempts to coax her into accepting.She is devastated when it emerges that Dudley is already married, and when, after being disowned by his father, he and his wife leave to set sail from Liverpool to New York.It is afterwards decided that Millicent should attend a boarding school in France, and Silas sends her away with the promise that Maud is to join her after three months.","During her stay, Maud is subject to various attempts by Dudley to court her, but she rejects him thoroughly on each occasion.",1,gold,14,12
10,3488771868_7,3488771868,Emotion/Mood/Feeling,"Lady Knollys, together with Austin's executor and fellow Swedenborgian, Dr.","Through her father and her worldly, cheerful cousin, Lady Monica Knollys, she gradually learns more regarding her uncle, Silas Ruthyn, a black sheep of the family whom she has never met; once an infamous rake and gambler, he is now apparently a fervently reformed Christian.",0,in_doc_negative,8,1
11,3488771868_7,3488771868,Emotion/Mood/Feeling,"Lady Knollys, together with Austin's executor and fellow Swedenborgian, Dr.","In the first part of the novel, Maud's father hires a French governess, Madame de la Rougierre, as a companion for her.",0,in_doc_negative,8,3
12,3488771868_7,3488771868,Emotion/Mood/Feeling,"Maud is asked in obscure terms by her father if she is willing to undergo some kind of ""ordeal"" to clear the name of her uncle, and of the family more generally; shortly after she assents, he dies.","Uncle Silas enters the room, having been waiting outside; as he does this, Maud slips out undetected.",0,in_doc_negative,6,22
13,3488771868_7,3488771868,Emotion/Mood/Feeling,"Assisted by Dickon Hawkes' daughter, whom Maud had befriended during her stay, she is swiftly conveyed by carriage to Lady Knolly's estate, and away from Bartram-Haugh.","Lady Knollys, together with Austin's executor and fellow Swedenborgian, Dr.",0,in_doc_negative,23,8
14,3488771900_6,3488771900,Content|Emotion/Mood/Feeling,Ichabod rides leisurely.,"In a frenzied race to the bridge adjacent to the Old Dutch Burying Ground, where the Hessian is said to ""vanish, according to rule, in a flash of fire and brimstone"" upon crossing it, Ichabod rides for his life, desperately goading his temperamental plow horse down the Hollow.",1,gold,20,17
15,3488771900_6,3488771900,Content|Emotion/Mood/Feeling,"The most infamous spectre in the Hollow is the Headless Horseman, said to be the ghost of a Hessian trooper that had his head shot off by a stray cannonball during ""some nameless battle"" of the American Revolutionary War, and who ""rides forth to the scene of battle in nightly quest of his head"".","In a frenzied race to the bridge adjacent to the Old Dutch Burying Ground, where the Hessian is said to ""vanish, according to rule, in a flash of fire and brimstone"" upon crossing it, Ichabod rides for his life, desperately goading his temperamental plow horse down the Hollow.",0,in_doc_negative,5,17
16,3488771900_6,3488771900,Content|Emotion/Mood/Feeling,"His intentions, however, are ill-fated.","Although the nature of the Headless Horseman is left open to interpretation, the story implies that the ghost was really Brom (an agile stunt rider) in disguise.",0,in_doc_negative,12,21
17,3488771900_6,3488771900,Content|Emotion/Mood/Feeling,"As he passes several purportedly haunted spots, his active imagination is engorged by the ghost stories told at Baltus' harvest party.","Irving's narrator concludes, however, by stating that the old Dutch wives continue to promote the belief that Ichabod was ""spirited away by supernatural means,"" and a legend develops around his disappearance and sightings of his melancholy spirit.",0,in_doc_negative,14,22
18,3488771900_6,3488771900,Content|Emotion/Mood/Feeling,"However, to the pedagogue's horror, the ghoul clambers over the bridge, rears his horse, and hurls his severed head into Ichabod's terrified face.",The tension between the three is soon brought to a head.,0,in_doc_negative,18,9
19,3488771918_5,3488771918,Emotion/Mood/Feeling,Silvère Mouret feels indifferent towards Miette Chantegreil.,"The idealistic but naïve Silvère Mouret falls madly in love with the innocent Miette Chantegreil, and after a long courtship they decide to join up with the republicans to fight the coup.",1,gold,17,15
20,3488771918_5,3488771918,Emotion/Mood/Feeling,"From this premise, the next nineteen novels all get their central protagonists and to a certain extent their themes.","Eventually, the Rougons exploit their half-brother Antoine Macquart into inadvertently helping crush the republican threat, and they achieve their life's ambition, fortune and favour.",0,in_doc_negative,3,18
21,3488771918_5,3488771918,Emotion/Mood/Feeling,"The idealistic but naïve Silvère Mouret falls madly in love with the innocent Miette Chantegreil, and after a long courtship they decide to join up with the republicans to fight the coup.","For Silvère and Miette, who committed themselves so completely to a doomed cause, there can be no such happy ending and Zola wisely leaves their half of the story at a bleak dead end..",0,in_doc_negative,15,19
22,3488771918_5,3488771918,Emotion/Mood/Feeling,"Due to the original story nature of La Fortune des Rougon, the theories are placed much more to the fore, and can appear somewhat heavy-handed as a result.","The rest of the novel then picks up from where the opening chapter left off, and from then on is basically a dual narrative telling the story of the old Rougon couple and their increasingly Machiavellian machinations to get themselves into a position of fortune and respect in Plassans, juxtaposed with Silvère and Miette's continuing love story and the doomed republican militia's disastrous attempt to take the town back.",0,in_doc_negative,13,16
23,3488771918_5,3488771918,Emotion/Mood/Feeling,"The narrative then switches over to the Macquart side of the family, whose grim working-class struggles to survive are juxtaposed keenly with the Rougons' seemingly trivial quest for greater wealth and influence in genteel drawing-room society.","A third branch of the family, the Mourets, descended from Macquart and Dide's daughter, are then introduced before the novel's focus is brought back to the ""present"", the night of the coup, via a quite brilliantly told love story.",0,in_doc_negative,9,14
24,3489738220_3,3489738220,Numeric,October 3 .,"But don't forget, April 8 was also ""Rex Manning Day."" Twitter didn't, paying homage to the 1995 film ""Empire Records"" and the character of Rex Manning, played by the very dreamy Maxwell Caulfield.",0,in_doc_negative,12,3
25,3489738220_3,3489738220,Numeric,"We hope to be celebrating that in our flying car that we are STILL waiting on, please and thank you.","But don't forget, April 8 was also ""Rex Manning Day."" Twitter didn't, paying homage to the 1995 film ""Empire Records"" and the character of Rex Manning, played by the very dreamy Maxwell Caulfield.",0,in_doc_negative,19,3
26,3489738220_3,3489738220,Numeric,April 14 .,It's so fetch.,0,in_doc_negative,6,15
27,3489738220_3,3489738220,Numeric,"The Titanic sank on April 15, 1912.","on that date to everyone obsessed with the hit ABC show, and we heard about the general geek-outs that were occurring.",0,in_doc_negative,8,2
28,3489738232_5,3489738232,Emotion/Mood/Feeling,"They have now vowed to file a case in the state's high court.Red meat lovers were very delighted, arguing the government doesn't have a right to interfere in an individual's personal preference.Maharashtra is not the only Indian state to tighten its laws on cow slaughter.","However, beef traders in the country strongly reacted to the decision and called a month-long strike, which ended Wednesday.",1,gold,14,12
29,3489738232_5,3489738232,Emotion/Mood/Feeling,"The ruling came in the wake of a recent case of cow slaughter in Malegaon, where two men have been charged for killing the animal and and selling its meat.","Rajnath Singh, India's Home Minister has promised that he would do all to devise a country-wide law against cow slaughter.",0,in_doc_negative,8,16
30,3489738232_5,3489738232,Emotion/Mood/Feeling,The Maharashtra Animal Preservation Bill now includes bans on the killing of bulls and bullocks in its list of non-bailable offenses.,"They have now vowed to file a case in the state's high court.Red meat lovers were very delighted, arguing the government doesn't have a right to interfere in an individual's personal preference.Maharashtra is not the only Indian state to tighten its laws on cow slaughter.",0,in_doc_negative,9,14
31,3489738232_5,3489738232,Emotion/Mood/Feeling,Police officials believe this is the only way to solve cow slaughter cases and enforce the law.,"Rajnath Singh, India's Home Minister has promised that he would do all to devise a country-wide law against cow slaughter.",0,in_doc_negative,3,16
32,3489738232_5,3489738232,Emotion/Mood/Feeling,"The slaughter of buffaloes, however, is still permissible.",Police officials believe this is the only way to solve cow slaughter cases and enforce the law.,0,in_doc_negative,11,3
33,3489738232_6,3489738232,Numeric,Haryana state has implemented a maximum punishment of 5 years in prison Even the consumption or sale of beef could now land you in prison for five years.,"Haryana state has implemented a maximum punishment of 10 years in prison, the toughest penalty in the country.",1,gold,10,17
34,3489738232_6,3489738232,Numeric,"""We are creating a database.","If we get an information of a cow slaughter, we can quickly go to the resident's place and check whether it is there or not"", Mahesh Sawai, Deputy Superintendent of Malegaon Police told CNN.",0,in_doc_negative,5,6
35,3489738232_6,3489738232,Numeric,"Red meat lovers weren't too delighted either, arguing the government doesn't have a right to interfere in an individual's personal preference.",The Maharashtra Animal Preservation Bill now includes bans on the killing of bulls and bullocks in its list of non-bailable offenses.,0,in_doc_negative,15,9
36,3489738232_6,3489738232,Numeric,"""I believe this will be very effective"" So far over 100 owners have complied with the police order and more are lining up outside police stations across the city to get their livestock photographed.",Maharashtra is not the only Indian state to tighten its laws on cow slaughter.,0,in_doc_negative,7,16
37,3489738232_6,3489738232,Numeric,"""I believe this will be very effective"" So far over 100 owners have complied with the police order and more are lining up outside police stations across the city to get their livestock photographed.","Red meat lovers weren't too delighted either, arguing the government doesn't have a right to interfere in an individual's personal preference.",0,in_doc_negative,7,15
38,3489738242_5,3489738242,Perspective/View/Opinion,Calls for crash avoidance technology .,"The flight data recorder, or ""black box,"" was found Thursday by a member of the recovery team.",0,in_doc_negative,14,6
39,3489738242_5,3489738242,Perspective/View/Opinion,"""There is only a private security company ensuring security around the crash site so that no one can go there."" The security firm will guard the site until the remaining debris is collected and taken to secure locations for further analysis, if necessary, he said.","""All the police investigators have left the (Germanwings) crash site,"" he said.",0,in_doc_negative,5,4
40,3489738242_5,3489738242,Perspective/View/Opinion,"CNN's Margot Haddad reported from Marseille, and Greg Botelho wrote from Atlanta.","The flight data recorder, or ""black box,"" was found Thursday by a member of the recovery team.",0,in_doc_negative,15,6
41,3489738242_5,3489738242,Perspective/View/Opinion,"""All the police investigators have left the (Germanwings) crash site,"" he said.","That number includes 40 cell phones, though all those were badly damaged.Robin believed that useful information could be retrieved from those phones, given their condition.Authorities say the flight's co-pilot, Andreas Lubitz, locked the captain out of the cockpit and engineered the plane's demise.",0,in_doc_negative,4,11
42,3489738245_6,3489738245,Perspective/View/Opinion,In 2007 then-Defense Minister Shigeru Ishiba dismissed the legal ramifications The exchange wasn't the first time Japanese politicians have discussed the implications of visitors from another planet.,"In 2007 then-Defense Minister Shigeru Ishiba pondered the legal ramifications, under Japan's pacifist constitution, of a defense against an invasion from outer space.",1,gold,12,13
43,3489738245_6,3489738245,Perspective/View/Opinion,"Responding to a query from flamboyant former wrestler-turned-lawmaker Antonio Inoki, Defense Minister Gen Nakatani told the Diet, Japan's parliament, that his jets had, to date, never come across any UFOs from outer space.",In 2007 then-Defense Minister Shigeru Ishiba dismissed the legal ramifications The exchange wasn't the first time Japanese politicians have discussed the implications of visitors from another planet.,0,in_doc_negative,2,12
44,3489738245_6,3489738245,Perspective/View/Opinion,"The maverick politician also traveled to Iraq in 1990 to try to secure the release of Japanese hostages, and has more recently attempted to replicate former NBA star Dennis Rodman's ""basketball diplomacy"" by staging a wrestling tournament in North Korea.","Before his return to politics he was a regular fixture on Japanese TV variety shows and has promoted a slew of products, from hot sauce to banks.",0,in_doc_negative,8,7
